sku,slug,title,image_file,prompt_style
KAJE-MEI-DASN,declaracao-anual-mei-dasn-simei,Declaração Anual do MEI — DASN-SIMEI,assets/product-images/kaje-mei-dasn.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-MEI-DASN-ATRASO,declaracao-anual-mei-pendencia-atraso,Declaração Anual MEI com Pendência ou Atraso,assets/product-images/kaje-mei-dasn-atraso.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-MEI-ABERTURA,abertura-formalizacao-mei,Abertura e Formalização de MEI,assets/product-images/kaje-mei-abertura.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-MEI-ALTERACAO,alteracao-cadastral-mei,Alteração Cadastral do MEI,assets/product-images/kaje-mei-alteracao.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-MEI-REGULARIZACAO,regularizacao-cadastral-pendencias-mei,Regularização Cadastral e Pendências do MEI,assets/product-images/kaje-mei-regularizacao.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-NFSE-AVULSA,apoio-emissao-nfse-avulsa,Apoio para Emissão de NFS-e Avulsa,assets/product-images/kaje-nfse-avulsa.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-NFSE-PACOTE10,pacote-apoio-10-nfse,Pacote de Apoio para até 10 NFS-e,assets/product-images/kaje-nfse-pacote10.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-TRIBUTOS-DIAGNOSTICO,diagnostico-pendencias-tributarias,Diagnóstico de Pendências Tributárias,assets/product-images/kaje-tributos-diagnostico.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-TRIBUTOS-PARCELAMENTO,regularizacao-parcelamento-tributario,Apoio em Regularização ou Parcelamento Tributário,assets/product-images/kaje-tributos-parcelamento.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-ANTT-CADASTRO,cadastro-antt-apoio-orientacao,Cadastro ANTT — Apoio e Orientação,assets/product-images/kaje-antt-cadastro.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-CONSULTA-ONLINE,atendimento-consultivo-online-30-min,Atendimento Consultivo Online — 30 minutos,assets/product-images/kaje-consulta-online.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
KAJE-CONSULTA-PRESENCIAL,atendimento-presencial-agendamento-timbo,Atendimento Presencial com Agendamento — Timbó/SC,assets/product-images/kaje-consulta-presencial.png,"Ilustração vetorial quadrada KAJE: fundo creme, azul-marinho, dourado, acentos geométricos laranja/verde/vermelho, ícone sem foto realista."
